No,Reference,SMP name,Smiles,Molar ratio,Tg,Rubbery modulus
197,"Cheng et al , 2020[25]",DER-NMA-0.15TEOA5,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC2=CC(C)(C)C1C(=O)OC(=O)C1C2C, OCCN(CCO)CCO}",0.465:0.465:0.07,124.1,10
198,"Cheng et al , 2020[25]",DER-NMA-0.2TEOA,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC2=CC(C)(C)C1C(=O)OC(=O)C1C2C, OCCN(CCO)CCO}",0.45:0.45:0.1,119,5
199,"Xie et al, 2009[30]", DA1,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CCCCCCCCCCN}",0.62:0.23:0.15,76.31,11.6
200,"Xie et al, 2009[30]",DA2,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CCCCCCCCCCN}",0.57:0.14:0.29,64.53,7.42
201,"Xie et al, 2009[30]",DA3,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CCCCCCCCCCN}",0.53:0.07:0.4,76.31,3.04
202,"Xie et al, 2009[30]",NGDE1,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CC(C)(COCC1CO1)COCC2CO2}",0.5:0.33:0.17,57.87,13.98
203,"Xie et al, 2009[30]",NGDE2,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CC(C)(COCC1CO1)COCC2CO2}",0.33:0.33:0.33,37.64,9.78
204,"Xie et al, 2009[30]",NGDE3,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CC(C)(COCC1CO1)COCC2CO2}",0.17:0.33:0.5,23.17,4.78
205,"Lin and Chen,1999[10]",A5,"{O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2, COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O, CCC(CO)(CO)CO}",0.588:0.059:0.353,135.59,10.28
206,"Lin and Chen,1999[10]",A6,"{O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2, COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O, CCC(CO)(CO)CO}",0.59:0.049:0.361,135.59,12.87
207,"Lin and Chen,1999[10]",B2,"{O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2, COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O, CCC(CO)(CO)CO}",0.571:0.143:0.286,15.45,1.61
208,"Lin and Chen,1999[10]",B3,"{O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2, COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O, CCC(CO)(CO)CO}",0.581:0.097:0.323,42.09,4.3
209,"Lin and Chen,1999[10]",B4,"{O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2, COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O, CCC(CO)(CO)CO}",0.585:0.073:0.341,54.81,5.74
210,"Lin and Chen,1999[10]",B5,"{O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2, COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O, CCC(CO)(CO)CO}",0.588:0.059:0.353,63.14,14.83
211,"Lin and Chen,1999[10]",B6,"{O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2, COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O, CCC(CO)(CO)CO}",0.59:0.049:0.361,67.52,15.3
212,"Grauzeliene et al., 2022[50]",100D,"{C=CC(=O)OCC(O)COc1ccccc1, C=C/C(=C\C(OC)=C(C)\OCC(O)COC(=C)C(=C)C)COCC(O)COC(=O)C(=C)C}",0.0:1.0,50,0.3
213,"Grauzeliene et al., 2022[50]",80D/20H,"{C=CC(=O)OCC(O)COc1ccccc1, C=C/C(=C\C(OC)=C(C)\OCC(O)COC(=C)C(=C)C)COCC(O)COC(=O)C(=C)C}",0.2:0.8,30,0.09
214,"Grauzeliene et al., 2022[50]",60D/40H,"{C=CC(=O)OCC(O)COc1ccccc1, C=C/C(=C\C(OC)=C(C)\OCC(O)COC(=C)C(=C)C)COCC(O)COC(=O)C(=C)C}",0.4:0.6,22,0.08
215,"Grauzeliene et al., 2022[50]",40D/60H,"{C=CC(=O)OCC(O)COc1ccccc1, C=C/C(=C\C(OC)=C(C)\OCC(O)COC(=C)C(=C)C)COCC(O)COC(=O)C(=C)C}",0.6:0.4,43,0.24
216,"Grauzeliene et al., 2022[50]",20D/80H,"{C=CC(=O)OCC(O)COc1ccccc1, C=C/C(=C\C(OC)=C(C)\OCC(O)COC(=C)C(=C)C)COCC(O)COC(=O)C(=C)C}",0.8:0.2,12,0.13
217,"Song, Wang and Wang, 2011[51]", #1,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, Nc2ccc(Cc1ccc(N)cc1)cc2}",0.79:0.21,55.8,1.87
218,"Song, Wang and Wang, 2011[51]", #2,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, Nc2ccc(Cc1ccc(N)cc1)cc2}",0.77:0.23,79.8,4.72
219,"Song, Wang and Wang, 2011[51]", #4,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, Nc1cccc(N)c1",0.82:0.18,56.1,1.53
220,"Song, Wang and Wang, 2011[51]",#5,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,Nc2ccc(Cc1ccc(N)cc1)cc2, Nc1cccc(N)c1}",0.785:0.124:0.091,72.2,5.22
221,"Song, Wang and Wang, 2011[51]",#6,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, Nc2ccc(Cc1ccc(N)cc1)cc2, Nc1cccc(N)c1}",0.787:0.145:0.068,83.2,3.77
222,"Yakacki et al., 2007[52]",10% wt,"{C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C, C=CC(=O)OC(C)(C)C}",0.02:0.98,52.2,1.53
223,"Yakacki et al., 2007[52]",20%wt,"{C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C, C=CC(=O)OC(C)(C)C}",0.04:0.96,51.4,6.33
224,"Yakacki et al., 2007[52]",40% wt,"{C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C, C=CC(=O)OC(C)(C)C}",0.09:0.91,49.9,12.7
225,"Giebler et al., 2020[53]",3-DGOA-0.25-Zn,"{c3cc(N(CC1CC1)CC2CO2)ccc3OCC4CO4, O=C1CCCC(=O)O1}",0.41:0.59,120,125
226,"Giebler et al., 2020[53]",3-DGOA-0.5,"{c3cc(N(CC1CC1)CC2CO2)ccc3OCC4CO4, O=C1CCCC(=O)O1}",0.26:0.74,125,188
227,"Giebler et al., 2020[53]",4-DGA-0.5-Zn,"{c3cc(N(CC1CO1)CC2CO2)ccc3Cc6ccc(N(CC4CO4)CC5CO5)cc6, O=C1CCCC(=O)O1}",0.22:0.78,130,298
228,"Giebler et al., 2020[53]",4-DGA-0.25-Zn,"{c3cc(N(CC1CO1)CC2CO2)ccc3Cc6ccc(N(CC4CO4)CC5CO5)cc6, O=C1CCCC(=O)O1}",0.35:0.65,122,72
229,"Karger-Kocsis et al, 2014[56]",EP/ESO 100/0,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CC3OC3CCCCC)OC(=O)CCCCCCCC4OC4CCCCCCCC}",1.0:0.0,118.53,82
230,"Karger-Kocsis et al, 2014[56]",EP/ESO 75/25,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CC3OC3CCCCC)OC(=O)CCCCCCCC4OC4CCCCCCCC}",0.75:0.25,115.02,81
231,"Karger-Kocsis et al, 2014[56]",EP/ESO 50/50,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CC3OC3CCCCC)OC(=O)CCCCCCCC4OC4CCCCCCCC}",0.5:0.5,119.69,67
232,"Karger-Kocsis et al, 2014[56]",EP/ESO 25/75,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CC3OC3CCCCC)OC(=O)CCCCCCCC4OC4CCCCCCCC}",0.25:0.75,116.99,60
233,"Karger-Kocsis et al, 2014[56]",EP/ESO 0/100,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CC3OC3CCCCC)OC(=O)CCCCCCCC4OC4CCCCCCCC}",0.0:1:0,109.36,55
234,"Nicolas et al., 2020[57]",TRI-80%,"{CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CCCCCCCC)OC(=O)CCCCCCCC3OC3CC4OC4CCCCC, c5cc(C(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4)ccc5OCC6CO6, O=C(O)CCCC(=O)O}",0.1:0.8:0.1,16,123.1
235,"Nicolas et al., 2020[57]",TRI-60%,"{CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CCCCCCCC)OC(=O)CCCCCCCC3OC3CC4OC4CCCCC, c5cc(C(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4)ccc5OCC6CO6, O=C(O)CCCC(=O)O}",0.2:0.6:0.2,34,47.3
236,"Nicolas et al., 2020[57]",TRI-40%,"{CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CCCCCCCC)OC(=O)CCCCCCCC3OC3CC4OC4CCCCC, c5cc(C(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4)ccc5OCC6CO6, O=C(O)CCCC(=O)O}",0.214:0.571:0.214,59,36.2
237,"Nicolas et al., 2020[57]",TRI-20%,"{CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CCCCCCCC)OC(=O)CCCCCCCC3OC3CC4OC4CCCCC, c5cc(C(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4)ccc5OCC6CO6, O=C(O)CCCC(=O)O}",0.4:0.2:0.4,102,17.6
238,"Ning et al., 2021[58]",1,"{ C=CCc1ccccc1OCC(O)COC(=O)CCCCC(=O)OCC(O)COc2ccccc2CC=C,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4 }",0.5:0.5,118.8,27.32
239,"Ning et al., 2021[58]",2,"{ C=CCc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4 }",0.5:0.5,127.3,37.46
240,"Yan et al., 2020 [59]",Epon862+MDS,"{ c2cc(OCC1CO1)ccc2Cc4ccc(OCC3CO3)cc4, Nc2ccc(SSc1ccc(N)cc1)cc2}",0.5874 : 0.4126,170,14.54
241,"Yan et al., 2020 [59]",Epon862 +Lupal FG+MDS,"{ c2cc(OCC1CO1)ccc2Cc4ccc(OCC3CO3)cc4,NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN, Nc2ccc(SSc1ccc(N)cc1)cc2}",0.6445 : 0.0393 : 0.3162,160,21.25
242,"Yan et al., 2020 [59]",Epon862 +Lupal FG+MDS,"{ c2cc(OCC1CO1)ccc2Cc4ccc(OCC3CO3)cc4,NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN, Nc2ccc(SSc1ccc(N)cc1)cc2}",0.6886 : 0.0695 : 0.2418,155,21.85
243,"Yan et al., 2020 [59]",Epon862 +Lupal FG+MDS,"{ c2cc(OCC1CO1)ccc2Cc4ccc(OCC3CO3)cc4,NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN, Nc2ccc(SSc1ccc(N)cc1)cc2}",0.7402 : 0.1044 : 0.1554,145,28.35
244,"Yan et al., 2020 [59]",Epon862+Lupal FG,"{ c2cc(OCC1CO1)ccc2Cc4ccc(OCC3CO3)cc4,NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN}",0.8319 : 0.1681,145,36.57
245,"Castro, 2010 [60]",DEGDMA:tBA,"{ C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C, C=CC(=O)OCCCC}",0.025:0.975,84.8,1.5
246,"Castro, 2010 [60]",DEGDMA:tBA,"{ C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C, C=CC(=O)OCCCC}",0.055 : 0.945,76.35,5.62
247,"Castro, 2010 [60]",DEGDMA:tBA,"{ C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C, C=CC(=O)OCCCC}",0.134:0.866,72.09,11.51
248,"Castro, 2010 [60]",PEGDMA:tBA,"{ C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O, C=CC(=O)OCCCC}",0.016:0.984  ,84.8,2.42
249,"Castro, 2010 [60]",PEGDMA:tBA,"{ C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O, C=CC(=O)OCCCC}",0.035:0.965,76.35,5.55
250,"Castro, 2010 [60]",PEGDMA:tBA,"{ C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O, C=CC(=O)OCCCC}",0.089:0.911,72.09,11.54
